cluster_id,n_trees,density,bbox_area,hull_area,geom_area,geom_type_used,pca_lam1,pca_lam2,pca_ratio,nn_mean,nn_std,height_mean,height_std,height_min,height_max,OPIS,edge_dist_,dominant_count_x,matched_points_x,dominant_fraction_x,n_labels_touched_x,dominant_count_y,matched_points_y,dominant_fraction_y,n_labels_touched_y
0,1,,0.0,0.0,0.0,buffer_union,,,,,,13.478,0.0,13.478,13.478,Mejica,46.56804692103637,,,,,1,1,1.0,1
1,4,0.08124600700017354,47.69089816450452,16.684180183180153,49.23318877679067,buffer_union,45.53922726612872,0.8027919423788619,56.72606420436315,4.238508759618817,0.8863667720376145,15.278,1.8811303782566478,12.203,17.304,Mejica,46.56804692103637,,,,,4,4,1.0,1
2,30,0.08126827666259777,2149.20014911182,981.901050757898,369.1477318333114,buffer_union,338.55625484329653,30.87846163778054,10.964155495009013,4.482152297932168,0.9417516510114862,16.664933333333334,5.046875838465703,8.302,23.989,Obvodna vegetacija,0.0,,,,,30,30,1.0,1
3,42,0.08131147812561225,14865.542068259692,1430.2042668235,516.5322408125114,buffer_union,3405.025546222081,7.887902117239776,431.67695232678756,5.386814514364393,1.8596784529344035,12.73045238095238,3.292087318768913,5.372,17.675,Mejica,96.82162139737719,,,,,41,42,0.9761904761904762,2
4,71,0.08284207514875633,9073.807474688649,2810.5334840131313,857.0524081212118,buffer_union,1244.4749635327125,62.94876840398217,19.76964752584399,4.144290197256066,1.292470809220914,16.23884507042254,4.960279900802644,4.852,28.512999999999998,Obvodna vegetacija,0.0,,,,,71,71,1.0,1
5,1,,0.0,0.0,0.0,buffer_union,,,,,,12.386,0.0,12.386,12.386,Drevesa v vrsti,92.90867077385846,,,,,1,1,1.0,1
7,2,0.07970544716691812,13.853806685638835,0.0,25.092387924399016,buffer_union,17.198307370220903,4.440892098500626e-16,3.872714533196506e+16,5.864862721363715,0.0,19.924,0.016000000000000014,19.908,19.94,Skupina dreves oziroma grmičevja,1109.9100801798943,,,,,2,2,1.0,1
6,2,0.08466240979920725,3.664909524369355,0.0,23.623234972207552,buffer_union,4.9003082652937895,-1.1102230246251565e-16,,3.1305936386870106,0.0,11.0505,0.13049999999999962,10.92,11.181,Drevesa v vrsti,92.90867077385846,,,,,2,2,1.0,1
8,1,,0.0,0.0,0.0,buffer_union,,,,,,14.073,0.0,14.073,14.073,Drevesa v vrsti,92.90867077385846,,,,,1,1,1.0,1
9,14,0.08354749976303132,289.8971669426283,177.44857789067194,167.5693472540613,buffer_union,44.64611450500129,13.204830507813382,3.3810441170436762,3.8198705681487497,1.065752989584263,13.043714285714286,3.8689447329909963,5.495,18.291999999999998,Skupina dreves oziroma grmičevja,120.62098045156999,,,,,14,14,1.0,1
10,11,0.0801260998253277,403.6016636934231,183.23230277234796,137.2836070141894,buffer_union,76.87130191944435,11.673572073986852,6.585071084689045,4.990623097533062,1.1995143682195657,19.280545454545457,2.4982912110493873,15.061,22.259,Skupina dreves oziroma grmičevja,90.86708015968004,,,,,11,11,1.0,1
11,4,0.07970544716691812,187.26265131871162,31.576376935797395,50.18477584879803,buffer_union,114.55079638629812,1.413950379041788,81.0147216509305,7.834689408559406,1.6110576722938579,7.229,0.21515459558187452,6.9110000000000005,7.517,Mejica,96.82162139737719,,,,,4,4,1.0,1
12,1,,0.0,0.0,0.0,buffer_union,,,,,,6.167000000000001,0.0,6.167000000000001,6.167000000000001,Drevesa v vrsti,,,,,,1,1,1.0,1
13,3,0.0797587501806184,37.357032679441396,4.37735836505821,37.613427908615954,buffer_union,19.016749649981026,0.33586647926738333,56.619969017038436,4.290830638248541,0.4956413548432494,10.526,2.0554109078235423,7.937,12.965,Mejica,,,,,,3,3,1.0,1
14,6,0.08822146238712825,459.95657410075177,55.60999186221281,68.01066132491833,buffer_union,135.24430721288633,1.4497955026301526,93.28509225441265,5.230333012701068,3.0563562162892555,5.477333333333334,0.5177269765254872,4.924,6.316000000000001,Drevesa v vrsti,,,,,,6,6,1.0,1
15,3,0.07970544716691812,191.44961542053565,1.475093272150275,37.63858188659852,buffer_union,109.50349426620542,0.006623533419716665,16532.489130384678,9.73362473893653,1.8884289560232759,5.791,0.6434754592575128,5.332,6.7010000000000005,Drevesa v vrsti,,,,,,3,3,1.0,1
16,365,0.08391631036731612,78288.1503755506,19025.011063782862,4349.5715958236515,buffer_union,13276.628052916189,190.75599555066037,69.60005642071798,3.8702993697767027,1.2067644020830863,18.94940273972603,4.917514997726921,4.438000000000001,31.579,Obvodna vegetacija,0.0,,,,,350,365,0.958904109589041,2
17,2,0.07970544716691812,21.475954245728527,0.0,25.092387924399016,buffer_union,24.635427218519634,8.881784197001252e-16,2.77370252103595e+16,7.01932008367187,0.0,5.971500000000001,1.1365000000000003,4.835,7.1080000000000005,Drevesa v vrsti,,,,,,2,2,1.0,1
18,8,0.0797054471669181,1238.3269599994615,118.19213669317162,100.36955169759608,buffer_union,347.6989859593758,1.915154208505669,181.55143038360015,7.803032422527641,1.4276088051158788,5.61275,0.7596138410403014,4.532,6.667000000000001,Drevesa v vrsti,,,,,,8,8,1.0,1
19,2,0.07970544716691812,17.073197013899073,0.0,25.092387924399016,buffer_union,19.922467998836044,-8.881784197001252e-16,,6.3122845307916915,0.0,11.2655,4.858499999999999,6.407,16.124,Drevesa v vrsti,,,,,,2,2,1.0,1
20,2,0.07970544716691812,9.950931116578477,0.0,25.092387924399016,buffer_union,44.48286845686759,0.0,,9.432165017308337,0.0,11.7305,3.8425000000000002,7.888,15.573,Drevesa v vrsti,,,,,,2,2,1.0,1
21,2,0.07970544716691812,12.069808972024706,0.0,25.092387924399016,buffer_union,17.501308047454806,-4.440892098500626e-16,,5.9163008793425655,0.0,5.8740000000000006,0.10599999999999987,5.768000000000001,5.98,Posamezno drevo,,,,,,2,2,1.0,1
22,2,0.07970544716691812,31.650127680586085,0.0,25.092387924399016,buffer_union,36.4070146392512,-8.881784197001252e-16,,8.533113691877215,0.0,7.4835,0.4945000000000004,6.989,7.978000000000001,Drevesa v vrsti,,,,,,2,2,1.0,1
23,49,0.08514786079938202,3906.2396808504013,2166.712178156952,575.4695366387364,buffer_union,312.3609813205415,178.39408980165186,1.7509603690786013,4.040219087886008,1.5575786875746889,12.065448979591835,3.569557355861462,5.455,20.57,Skupina dreves oziroma grmičevja,62.648529751143094,,,,,49,49,1.0,1
24,1,,0.0,0.0,0.0,buffer_union,,,,,,8.911999999999999,0.0,8.911999999999999,8.911999999999999,Drevesa v vrsti,,,,,,1,1,1.0,1
25,13,0.07996441550465162,2882.6830733959996,324.4047362199564,162.57231317152284,buffer_union,669.5972796160613,3.937500697298958,170.05642185038616,6.713070085079099,2.382784475827566,7.116153846153845,1.3193680215661436,5.005,9.485999999999999,Mejica,,,,,,9,13,0.6923076923076923,2
26,16,0.08184239894438937,1413.873524880764,309.16137317062135,195.49769076138335,buffer_union,311.71929717970124,5.192577931984296,60.03170318535413,4.2588052906502085,1.0145694172839521,13.7531875,3.6277832111833463,5.235,18.151,Mejica,37.29149114765697,,,,,16,16,1.0,1
27,1,,0.0,0.0,0.0,buffer_union,,,,,,12.958,0.0,12.958,12.958,Mejica,103.95586165710988,,,,,1,1,1.0,1
28,2,0.07970544716691812,12.571387797867457,0.0,25.092387924399016,buffer_union,14.167737483908361,4.440892098500626e-16,3.190290862660635e+16,5.32310764195284,0.0,14.488,0.31900000000000084,14.168999999999999,14.807,Mejica,103.95586165710988,,,,,2,2,1.0,1
29,29,0.08031216337655463,7708.238272814983,902.3739764594145,361.09100764761513,buffer_union,1508.5237969557656,5.432516254029849,277.6841755119905,4.430348518326159,0.908675523789746,14.880034482758623,2.6863524620821964,7.45,19.869,Obvodna vegetacija,0.0,,,,,29,29,1.0,1
30,1,,0.0,0.0,0.0,buffer_union,,,,,,13.437,0.0,13.437,13.437,Mejica,37.29149114765697,,,,,1,1,1.0,1
31,62,0.08239964434046133,15609.665042761018,2952.9639680366918,752.4304321487909,buffer_union,3467.0731272724825,38.203063431617466,90.75379867058193,4.6099789737991514,1.7608825242671915,11.120145161290322,3.49654852328727,3.5370000000000004,17.706,Mejica,69.98690068722502,,,,,56,62,0.9032258064516129,2
32,2,0.07970544716691812,27.879528501246153,0.0,25.092387924399016,buffer_union,33.23885385974003,-8.881784197001252e-16,,8.153386273167737,0.0,5.4915,0.36350000000000016,5.128,5.855,Drevesa v vrsti,59.80547273067452,,,,,2,2,1.0,1
