cluster_id,n_trees,density,bbox_area,hull_area,geom_area,geom_type_used,pca_lam1,pca_lam2,pca_ratio,nn_mean,nn_std,height_mean,height_std,height_min,height_max,OPIS,edge_dist_,dist_to_poly
0,608,0.24917031059359904,6051.936791999977,3362.396490499815,2440.0980941572057,buffer_union,609.2353779106829,173.26552418315129,3.516195046780843,1.3004459991671409,0.32470125838639396,13.066253289473686,4.186268745340278,0.993,21.613,Skupina dreves oziroma grmičevja,1109.9100801798943,
1,1486,0.23066804756595172,41704.92542499127,23265.480613496038,6442.157965442217,buffer_union,10149.342994160304,526.9065627198977,19.262130541265762,1.3302584581406172,0.3499462511521868,13.464769179004039,6.256280766194602,0.177,30.191,Obvodna vegetacija,0.0,14.510218801869334
64,421,0.1881175758235217,30124.0704049901,2586.261022503221,2237.962073224629,buffer_union,6375.474308398321,6.526491861822819,976.8608378556502,1.379645610127919,0.43737825853830387,10.55002137767221,3.255432610898829,2.275,17.684,Mejica,96.82162139737719,
2,8,0.15923000124946715,16.09889599985793,12.482225499786045,50.24178821343048,buffer_union,2.8822596052586587,2.1668485018086407,1.3301620315646772,1.4180536838057562,0.4901411784515501,8.82825,0.9059340138773907,7.602,10.345,Posamezno drevo,13.648116389800977,
3,16,0.1547488762647473,256.960301002053,97.25298499981031,103.39331946182858,buffer_union,91.07609473943256,3.0369764066304583,29.98906891097056,1.2765832732982652,0.26869212645213036,6.523312500000001,1.5474829449282308,3.7760000000000002,9.700000000000001,Drevesa v vrsti,3.717761447275775,2.7464210972797174
4,3,0.10554798805496797,5.7070899999135545,1.9877634999506562,28.423090342921935,buffer_union,3.0624259419819575,0.4300733913344228,7.120705450946234,2.0622933176360707,0.06826862616803102,7.167000000000001,1.3032398090911745,5.761,8.902000000000001,Posamezno drevo,36.07423677914454,
5,239,0.24074031712956034,2269.6376640000944,919.9756775005285,992.7709776646022,buffer_union,353.58400299637105,20.90911479757048,16.910519953597245,1.287376131443866,0.33550765499428264,16.030623430962343,7.363485532027037,1.2670000000000001,28.321,Skupina dreves oziroma grmičevja,74.42180058139347,
6,404,0.2235463974567808,5133.914292005048,2935.406881001879,1807.2310920515151,buffer_union,586.3670067662414,98.88384201057568,5.929856636269545,1.3248375283607907,0.42935363714315783,11.272801980198018,2.870379795202884,1.094,17.367,Obvodna vegetacija,2.993392996173562,0.1456017670040983
7,9,0.1700390518941049,20.832484000111958,13.798023999987407,52.92901777413417,buffer_union,4.09102410867403,1.6018100857353512,2.5540007177542163,1.3157401990709863,0.3625884653550984,9.327555555555556,0.9495141577683132,7.492,10.667,Posamezno drevo,0.0,
8,370,0.2525295396506742,2111.37344999945,1349.8570665015434,1465.1751256974667,buffer_union,256.0290558996694,51.187419565471465,5.0017964975201465,1.3244102814986045,0.30096651206909314,13.877843243243243,6.443874284702406,0.674,26.914,Skupina dreves oziroma grmičevja,49.4529053147741,
9,1100,0.2368831077022072,20188.717184999827,11848.22742299953,4643.640530851371,buffer_union,5012.422810009315,199.48798604949647,25.126439487767673,1.295869298120145,0.32550664623016673,9.90263,4.019104583272475,1.228,22.166,Obvodna vegetacija,0.0,6.562906679623304
10,103,0.16195451443046252,3271.4445559982582,718.5454799993704,635.9810367881071,buffer_union,1113.0263316867706,4.345366770641739,256.14094055457485,1.390428457970867,0.4113951096799411,7.883941747572816,3.362924732117597,1.303,14.892,Mejica,9.459089430339334,
11,1942,0.25043257865601437,16402.712004006044,10198.733378502366,7754.582133131587,buffer_union,2149.8917492793817,343.27491631100486,6.262886238188151,1.2960316861556478,0.3056134328483533,12.066575180226572,5.713375580193556,0.075,25.095,Obvodna vegetacija,0.0,
12,96,0.18460177003798287,752.1295540001723,643.0252345003398,520.038350554534,buffer_union,79.33401171398539,65.20482867538634,1.2166892134467422,1.4192195947616384,0.39202601712461327,10.985260416666668,3.078720605641218,2.508,15.902000000000001,Obvodna vegetacija,0.0,3.5555482797796794
