cluster_id,n_trees,density,bbox_area,hull_area,geom_area,geom_type_used,pca_lam1,pca_lam2,pca_ratio,nn_mean,nn_std,height_mean,height_std,height_min,height_max,OPIS,edge_dist_,dist_to_poly
0,1,,0.0,0.0,0.0,buffer_union,,,,,,15764.0,0.0,15764.0,15764.0,Posamezno drevo,,
1,3,0.08423219221768893,11.39510400014166,5.498424500016896,35.61583666547377,buffer_union,4.954812605139187,2.0338927282556485,2.436122877231899,3.312040941276138,0.038080659313542604,7578.333333333333,205.03712400982954,7342.0,7842.0,Posamezno drevo,,
2,203,0.09671654085053982,4458.5253759941115,2733.3680455002946,2098.9170850692904,buffer_union,269.3819282361336,249.6118533889407,1.0792032693110432,2.7916330609205233,0.7649652788181013,11553.862068965518,2968.354710173386,2834.0,17609.0,Skupina dreves oziroma grmičevja,,
3,1,,0.0,0.0,0.0,buffer_union,,,,,,11109.0,0.0,11109.0,11109.0,Posamezno drevo,,
4,3,0.09163991382684579,8.652111999951325,3.8224479999076904,32.73682694277211,buffer_union,4.525194930922446,1.0762784023700154,4.204483636350739,2.641807522850341,0.794776915504976,9071.333333333334,741.9713980710817,8026.0,9673.0,Posamezno drevo,,
5,3,0.1092396299170633,4.458216000231114,1.7389690000860254,27.4625609980339,buffer_union,2.6902519353800227,0.37468773134724065,7.17998405153768,1.8875326614334516,0.1884289048132643,8499.0,446.2913846356436,7881.0,8919.0,Posamezno drevo,,
6,4,0.10632426937240072,9.500076000293049,6.277993000192598,37.62076169072934,buffer_union,2.6286750459010397,1.73808212087844,1.5123997964909086,2.306800663437478,0.42892854804993746,6611.75,140.77708442782867,6402.0,6782.0,Posamezno drevo,,
7,14,0.12282053479475527,242.57430399862213,67.00957050003896,113.98745351007732,buffer_union,37.856022193049796,1.895318543051948,19.97343524750827,1.8783840951533752,0.5887031555485914,5715.785714285715,1913.0013508535083,3446.0,10225.0,Mejica,,
8,1,,0.0,0.0,0.0,buffer_union,,,,,,11753.0,0.0,11753.0,11753.0,Posamezno drevo,,
9,15,0.08592684511292067,1394.6334849969332,115.1869619983262,174.56709809708207,buffer_union,278.2232881772994,0.9542312033508296,291.5680049031144,3.173208511190993,0.6881102705933342,7868.8,1466.3493535534658,4791.0,10664.0,Mejica,,
