cluster_id,n_trees,density,bbox_area,hull_area,geom_area,geom_type_used,pca_lam1,pca_lam2,pca_ratio,nn_mean,nn_std,height_mean,height_std,height_min,height_max,OPIS,edge_dist_,dominant_count_x,matched_points_x,dominant_fraction_x,n_labels_touched_x,dominant_count_y,matched_points_y,dominant_fraction_y,n_labels_touched_y,dist_to_poly
0,149,0.08597761009765525,20369.56485998471,9521.396048193803,1733.0093245295204,buffer_union,2414.6437288436955,363.2175791732382,6.647926387098187,3.7092622032778753,1.4031515869378834,12.761892617449666,4.968538941172294,5.0089999999999995,28.159000000000002,Obvodna vegetacija,0.0,,,,,119.0,119.0,1.0,1.0,
1,73,0.08455100714953555,5486.876979641715,2607.3796086993502,863.3841566297771,buffer_union,498.75915400737506,171.4134313555781,2.9096853733285033,4.199544726033363,1.4356860765516744,14.283136986301372,3.5176737344135116,4.39,25.73,Mejica,162.70250149419397,,,,,41.0,61.0,0.6721311475409836,2.0,
2,30,0.08569242672681096,1887.6411723617587,1156.3638944652944,350.0892803005866,buffer_union,835.9649795995425,22.802689858588003,36.66080557968469,4.086226976691587,1.4459015602247622,14.843366666666666,4.951428039689381,4.329,21.220000000000002,Drevesa v vrsti,1521.733437899242,,,,,16.0,16.0,1.0,1.0,
3,1,,0.0,0.0,0.0,buffer_union,,,,,,17.629,0.0,17.629,17.629,Posamezno drevo,278.88415657103934,,,,,1.0,1.0,1.0,1.0,
4,1,,0.0,0.0,0.0,buffer_union,,,,,,21.786,0.0,21.786,21.786,Posamezno drevo,54.17343763302399,,,,,1.0,1.0,1.0,1.0,
6,53,0.08543629870422184,2267.4638513560253,1328.27485330835,620.3452256690633,buffer_union,210.59179748056746,109.26229795534381,1.9273967454596064,3.5959664490921988,1.1993215176710448,14.990792452830192,4.224587885934056,4.715999999999999,22.874000000000002,Skupina dreves oziroma grmičevja,33.05633919588231,,,,,43.0,43.0,1.0,1.0,
7,56,0.08851725039176768,1707.4726080580683,987.3473380823284,632.6450466112551,buffer_union,203.63732434319002,41.68123083347551,4.885588075763887,3.1717604807226345,0.9482277111942163,19.439785714285716,4.639160121471673,5.628,25.574,Skupina dreves oziroma grmičevja,179.20585495991284,,,,,46.0,46.0,1.0,1.0,
5,1,,0.0,0.0,0.0,buffer_union,,,,,,14.212,0.0,14.212,14.212,Skupina dreves oziroma grmičevja,33.05633919588231,,,,,,,,,2.168109507618307
8,15,0.08040119541382881,1600.7936046698571,417.5654327204652,186.56439027795892,buffer_union,314.52142701792354,12.606946144826907,24.948264504721728,5.239623010344914,1.3893737838564701,4.6382666666666665,2.225035983729002,1.099,8.067,Mejica,1783.1539083689283,,,,,13.0,13.0,1.0,1.0,
9,1,,0.0,0.0,0.0,buffer_union,,,,,,13.633,0.0,13.633,13.633,Posamezno drevo,94.2292125078853,,,,,1.0,1.0,1.0,1.0,
10,2,0.09524671075553605,1.4876367299373625,0.0,20.998100450243143,buffer_union,2.5039427396237963,2.7755575615628914e-17,9.02140447130143e+16,2.23783052960844,0.0,5.852,1.1510000000000002,4.701,7.003,Mejica,1783.1539083689283,,,,,2.0,2.0,1.0,1.0,
11,154,0.08389546415330862,34637.14466995934,8699.790940555926,1835.6177125211916,buffer_union,5028.776554629274,87.99339819579745,57.14947550314572,4.268369132462716,1.4207165218230322,16.40453896103896,4.735954504285685,3.617,25.274,Skupina dreves oziroma grmičevja,1609.9677224172863,,,,,95.0,131.0,0.7251908396946565,2.0,
12,2,0.0851257468359111,4.306827488536436,0.0,23.49465437119996,buffer_union,4.741601962351087,-3.3306690738754696e-16,,3.0794811128990833,0.0,10.3255,0.037499999999999645,10.288,10.363,Posamezno drevo,64.76642226052503,,,,,1.0,1.0,1.0,1.0,
13,1,,0.0,0.0,0.0,buffer_union,,,,,,9.677,0.0,9.677,9.677,Posamezno drevo,53.72133955842126,,,,,1.0,1.0,1.0,1.0,
14,199,0.08377893050564754,57561.5442470613,11786.029981501148,2375.2988824151366,buffer_union,10649.664233786865,112.97643918653648,94.26447063181999,4.164551530508993,1.5341461884495833,12.750979899497485,4.753318905003251,2.717,22.073,Obvodna vegetacija,0.0,,,,,164.0,164.0,1.0,1.0,
15,185,0.09822122940633532,7421.400614655258,4454.437840758085,1883.5032010713908,buffer_union,428.0136323774379,153.56266181136644,2.7872246243243817,3.142450727493626,1.4043190696381584,15.82463243243243,4.005825105144032,4.979,22.104000000000003,Obvodna vegetacija,1786.4705260843002,,,,,171.0,171.0,1.0,1.0,
16,3,0.07970544716691812,85.20261437024648,5.460520106648968,37.63858188659852,buffer_union,42.796979785632985,0.2322381936332114,184.28054023372653,6.528569965800872,0.18518427557190828,17.695000000000004,5.271235971446039,11.770999999999999,24.576,Mejica,1842.45764608445,,,,,2.0,2.0,1.0,1.0,
17,2,0.08490976548112843,4.8144519319290735,0.0,23.554416723062424,buffer_union,4.814453770313039,2.220446049250313e-16,2.168237220597428e+16,3.103048104787626,0.0,13.903,0.5069999999999997,13.396,14.41,Posamezno drevo,69.49707245673265,,,,,2.0,2.0,1.0,1.0,
18,1,,0.0,0.0,0.0,buffer_union,,,,,,10.145,0.0,10.145,10.145,Posamezno drevo,59.68027114491386,,,,,1.0,1.0,1.0,1.0,
19,1,,0.0,0.0,0.0,buffer_union,,,,,,7.667,0.0,7.667,7.667,Obvodna vegetacija,107.0952132123856,,,,,,,,,1.39152148201226
20,35,0.08329000082594686,3229.6799731524516,1091.5603027693414,420.2185094599813,buffer_union,587.5394821984909,20.619528256343074,28.494322221835958,4.360137504536325,1.51418122037648,14.622342857142856,5.077402563982366,4.817,24.35,Obvodna vegetacija,107.0952132123856,,,,,23.0,23.0,1.0,1.0,
