cluster_id,n_trees,density,bbox_area,hull_area,geom_area,geom_type_used,pca_lam1,pca_lam2,pca_ratio,nn_mean,nn_std,height_mean,height_std,height_min,height_max,OPIS,edge_dist_,dominant_count_x,matched_points_x,dominant_fraction_x,n_labels_touched_x,dominant_count_y,matched_points_y,dominant_fraction_y,n_labels_touched_y,dist_to_poly
0,21,0.08319779470998695,1477.4562509538148,564.5628672512839,252.41053651965595,buffer_union,296.2094284352388,14.90988742956037,19.86664418726418,3.9425031173121594,1.1860905645129556,13.792400000000002,5.236160630425604,3.3200000000000003,22.5302,Mejica,80.16608180610166,,,,,20.0,20.0,1.0,1.0,
1,19,0.0798508496662899,2236.987950410484,388.8470439840428,237.9436171237274,buffer_union,427.7214083896472,5.9277023462472584,72.15635728747941,4.711179879949622,0.8698415649989281,13.966742105263156,4.01395294813057,8.3828,21.0,Mejica,41.578318311041485,,,,,14.0,14.0,1.0,1.0,
2,14,0.0813684644914359,492.77204069792987,322.8528860557419,172.0568292335603,buffer_union,50.71332280468505,36.63525652462556,1.3842764488518449,4.52032151333267,1.5903994143737767,13.871392857142862,4.540600883058837,6.7665,20.9694,Skupina dreves oziroma grmičevja,68.70872088081195,,,,,9.0,9.0,1.0,1.0,
3,3,0.07994789549933598,34.095100943402386,0.4330748772283277,37.52443990254774,buffer_union,17.761011615068703,0.0035199543312645076,5045.807400770521,4.087487905685124,0.3472938398246388,17.307066666666667,1.8047909691214175,15.106,19.5267,Mejica,41.578318311041485,,,,,3.0,3.0,1.0,1.0,
4,133,0.0818939403459324,26244.995290638606,14138.542876333426,1624.051785006166,buffer_union,5759.148931095844,721.0986835336738,7.986630765810993,4.495746372913109,1.5209834957795274,11.911901503759399,3.5406908143970486,3.2352000000000003,19.768,Obvodna vegetacija,0.0,,,,,102.0,102.0,1.0,1.0,
7,4,0.07970544716691812,116.72967586946775,23.09194350868254,50.18477584879803,buffer_union,68.85663905615999,1.2847782110098773,53.59418338986029,5.8941729996688155,0.8098837274962771,11.8062,1.841980846805959,8.659,13.2862,Obvodna vegetacija,0.0,,,,,3.0,3.0,1.0,1.0,
8,76,0.08202477007334111,7507.223252464939,3239.314027979215,926.5493817543877,buffer_union,789.2782723353455,108.9127742688737,7.246884285463603,4.25736396370177,1.4162249341286928,11.382147368421053,3.156678453586171,2.8870000000000005,16.3869,Skupina dreves oziroma grmičevja,798.2957909421067,,,,,62.0,71.0,0.8732394366197183,2.0,
9,6,0.08021180080249987,115.82338737934943,56.66965621695661,74.80196105774257,buffer_union,26.780695218831283,6.576034497607972,4.07246878473231,4.674602851681894,1.6515726012433207,15.90961666666667,5.934806811912433,3.1384000000000003,20.3736,Skupina dreves oziroma grmičevja,810.762900859946,,,,,5.0,5.0,1.0,1.0,
10,12,0.08314171532494269,491.81137555613844,244.99457107749532,144.3318790465221,buffer_union,77.20803849181655,17.109316183415316,4.512631461370567,4.359057184423578,1.2768192470386615,14.573950000000002,4.213988327878947,3.5618000000000007,18.629,Skupina dreves oziroma grmičevja,819.3230842017092,,,,,11.0,11.0,1.0,1.0,
5,10,0.08134286719342976,223.8369125007885,131.88660041851534,122.93640911649254,buffer_union,42.14835868765709,13.065841901559352,3.225843309999554,4.170223606227653,1.2179763164907031,11.00845,3.4056405421741154,5.2909999999999995,15.5988,Obvodna vegetacija,0.0,,,,,9.0,9.0,1.0,1.0,
6,21,0.08076142107093272,1038.7180906614187,577.3060156620165,260.025142221751,buffer_union,160.5958445706433,25.371353848352626,6.329809813482652,4.617092847193519,1.1632930053419106,16.662776190476194,5.423041873682964,6.8784,26.058300000000003,Obvodna vegetacija,0.0,,,,,17.0,17.0,1.0,1.0,
12,55,0.08282691855802174,4338.22704614398,2124.505221120339,664.0353276147961,buffer_union,486.13793525424137,70.81877822760887,6.864534342739046,4.127222717798373,1.4621138428410607,13.686516363636365,3.9872599913754243,3.6067,24.350900000000003,Mejica,162.70250149419397,,,,,45.0,49.0,0.9183673469387755,2.0,
11,1,,0.0,0.0,0.0,buffer_union,,,,,,7.357599999999999,0.0,7.357599999999999,7.357599999999999,Skupina dreves oziroma grmičevja,137.62298509345246,,,,,,,,,1.207499424612048
13,13,0.08425464328281844,678.0899827445318,285.9868388202517,154.29416698570267,buffer_union,176.41013989035093,11.87046046715373,14.861271841853842,4.337449072758087,2.083263451073112,15.138946153846156,4.0703560694017895,7.9308,20.501500000000004,Drevesa v vrsti,1521.733437899242,,,,,7.0,7.0,1.0,1.0,
14,5,0.08229384383308903,129.59360491553753,53.972407935005776,60.757886217359804,buffer_union,50.35644888088511,6.862975041700874,7.33740813202857,3.9365782146068584,1.0130551706970905,6.61994,3.486626143767066,2.6694,11.1455,Drevesa v vrsti,1521.733437899242,,,,,3.0,3.0,1.0,1.0,
15,1,,0.0,0.0,0.0,buffer_union,,,,,,17.258200000000002,0.0,17.258200000000002,17.258200000000002,Drevesa v vrsti,1521.733437899242,,,,,,,,,0.2408984107766294
16,1,,0.0,0.0,0.0,buffer_union,,,,,,17.1106,0.0,17.1106,17.1106,Posamezno drevo,278.88415657103934,,,,,1.0,1.0,1.0,1.0,
